GEOID,NAME
17001,Adams
17003,Alexander
17005,Bond
17007,Boone
17009,Brown
17011,Bureau
17013,Calhoun
17015,Carroll
17017,Cass
17019,Champaign
17021,Christian
17023,Clark
17025,Clay
17027,Clinton
17029,Coles
17031,Cook
17033,Crawford
17035,Cumberland
17039,De Witt
17037,DeKalb
17041,Douglas
17043,DuPage
17045,Edgar
17047,Edwards
17049,Effingham
17051,Fayette
17053,Ford
17055,Franklin
17057,Fulton
17059,Gallatin
17061,Greene
17063,Grundy
17065,Hamilton
17067,Hancock
17069,Hardin
17071,Henderson
17073,Henry
17075,Iroquois
17077,Jackson
17079,Jasper
17081,Jefferson
17083,Jersey
17085,Jo Daviess
17087,Johnson
17089,Kane
17091,Kankakee
17093,Kendall
17095,Knox
17097,Lake
17099,LaSalle
17101,Lawrence
17103,Lee
17105,Livingston
17107,Logan
17115,Macon
17117,Macoupin
17119,Madison
17121,Marion
17123,Marshall
17125,Mason
17127,Massac
17109,McDonough
17111,McHenry
17113,McLean
17129,Menard
17131,Mercer
17133,Monroe
17135,Montgomery
17137,Morgan
17139,Moultrie
17141,Ogle
17143,Peoria
17145,Perry
17147,Piatt
17149,Pike
17151,Pope
17153,Pulaski
17155,Putnam
17157,Randolph
17159,Richland
17161,Rock Island
17165,Saline
17167,Sangamon
17169,Schuyler
17171,Scott
17173,Shelby
17163,St. Clair
17175,Stark
17177,Stephenson
17179,Tazewell
17181,Union
17183,Vermilion
17185,Wabash
17187,Warren
17189,Washington
17191,Wayne
17193,White
17195,Whiteside
17197,Will
17199,Williamson
17201,Winnebago
17203,Woodford
